,epoch,train_losses,val_losses,train_accuracies,val_accuracies
0,0,1.5141118377842062,1.2976720884229889,0.3678391639584528,0.440897215318932
1,1,1.2672863282741758,1.1661948990190587,0.4502644491174409,0.48830688842158926
2,2,1.1646058952832683,1.1419229570571372,0.48449945835722935,0.49894857579812657
3,3,1.0873512359569562,1.04393270957737,0.5202638118906519,0.5397948129739374
4,4,0.9975876708217839,0.9903268896635098,0.5640253616262028,0.5685974638373797
5,5,0.9306273734411576,0.8891750432080504,0.5932900019116804,0.6138405658573887
6,6,0.8708737632459093,0.9554776936587394,0.6215669406741859,0.5807047728286497
7,7,0.8094278439560433,0.784510663109253,0.6499713247944944,0.6668578347033709
8,8,0.7781990983738933,0.7252927199157824,0.663273434015166,0.6899254444656854
9,9,0.7300790070910216,0.7174308481502921,0.68699420123622,0.693047855731855
10,10,0.6875796394610624,0.6478313798210042,0.707624418530555,0.7322373032562289
11,11,0.6485263892087733,0.7461933270248522,0.72825463582489,0.6785828076212324
12,12,0.6145017143418665,0.6815196591943442,0.7413496463391321,0.7147135665583381
13,13,0.5810701890595098,0.6551929420342028,0.7586184923214172,0.7215956158796916
14,14,0.5664160067441509,0.6232575841263209,0.766010323073982,0.7375262856050468
15,15,0.545534152457838,0.5644285964747311,0.7740234499458357,0.7639074746702351
16,16,0.5317847259821148,0.5042022976819464,0.7802364111387242,0.7967883769833684
17,17,0.506799247370279,0.512375970964762,0.7903842477537756,0.7871662524692538
18,18,0.48518951938968913,0.5620350279596819,0.8015357165615242,0.7680494487988275
19,19,0.470542603820775,0.564326341307576,0.806904352258969,0.7653093736060664
