,epoch,train_losses,val_losses,train_accuracies,val_accuracies
0,0,1.517249817998888,1.3588143150092629,0.3714713566558338,0.42496654559357677
1,1,1.298498852324656,1.2088626173994448,0.4373128146307271,0.47256738673293824
2,2,1.2023743268303673,1.1024847523500867,0.4694131141273179,0.5195310010832855
3,3,1.0958876223070784,0.9906871222915572,0.5187344675970178,0.5661760020391258
4,4,0.9949733993450558,1.006514811952828,0.561795067864653,0.5517746766074045
5,5,0.933347379274203,0.8916619678621622,0.5920792710125534,0.6067673484993309
6,6,0.8749144589651858,0.8209988879089201,0.6190976868667559,0.6414962085006054
7,7,0.8073998191730934,0.8078299952014644,0.6483304658127828,0.655069139106608
8,8,0.7681500661081495,0.7262948304718235,0.6677340215382654,0.6968074937870388
9,9,0.7271062096354916,0.6838833073613114,0.6902759191996432,0.7189829860447333
10,10,0.6804026443583399,0.6557751841797606,0.7119894220353024,0.7258650353660868
11,11,0.6498979241810321,0.6737936716337068,0.7258968967055375,0.7143949531638311
12,12,0.61890207215855,0.6552512295498625,0.7395335499904416,0.722105397310903
13,13,0.5825771756174003,0.5727683854442993,0.7566749506149238,0.7658191550372778
14,14,0.5597535121604937,0.5497833347126325,0.7671573312942076,0.7746128847256739
15,15,0.5433796537198908,0.5222128887647524,0.7754094182119416,0.7883769833683808
16,16,0.5272347852132007,0.5441029682118149,0.7812400433314216,0.7837889504874785
17,17,0.49661745378608974,0.5099436403413411,0.7956891607723189,0.7957050914420443
18,18,0.5019405710223254,0.5224305008008864,0.7936978270566495,0.7889504874784936
19,19,0.4708156603769182,0.44057848876581174,0.8075256483782578,0.826546868030332
