,epoch,train_losses,val_losses,train_accuracies,val_accuracies
0,0,1.459328069963951,1.2260174090896265,0.38349901229847705,0.46772446313643024
1,1,1.1589649528052344,1.0525578563907725,0.4918116357611674,0.5508825591027847
2,2,1.0324653493701865,0.982828393001906,0.5468680303319952,0.5535589116166444
3,3,0.9097623593581197,0.9211473940831824,0.6021474542789779,0.595424711654878
4,4,0.8261488890702572,0.7726255181243609,0.6412731791244504,0.6719556490154847
5,5,0.7535927261507839,1.0015286188989938,0.6748072388963232,0.5608870196903077
6,6,0.6886681899595455,0.6232886487379093,0.709998088319633,0.7368253361371312
7,7,0.6435710313700511,0.6625434398772517,0.7283183585037915,0.7182183138979162
8,8,0.6063501853021156,0.5663265889081839,0.7436755241190339,0.7628879118078123
9,9,0.5758541199653034,0.5045176667679109,0.7591760657618046,0.7972344357356783
10,10,0.5388744630747371,0.5237366910378948,0.7769706238450265,0.7790097495698719
11,11,0.517050552562593,0.4669788180567825,0.7887274581023386,0.8090231313324412
12,12,0.46957556808046486,0.49884689008995375,0.8085930032498566,0.7940483017906073
13,13,0.4613474038307091,0.44042210848414,0.8086248645893074,0.8205569362135984
14,14,0.43341148680381697,0.43032266921885387,0.8238864461861977,0.8232970114063595
15,15,0.42328204368369293,0.43414589471341153,0.8285063404065507,0.8290320525074875
16,16,0.39524466887678456,0.4086627129108746,0.8416969349391449,0.8386541770216019
17,17,0.3781242211112918,0.3713475332088966,0.84641241317785,0.8540113426368444
18,18,0.36068771684980905,0.34530011632777524,0.8563850124259224,0.8622315682151278
19,19,0.36442314991945823,0.47685987836171073,0.855381380233225,0.8033518129102147
