,epoch,train_losses,val_losses,train_accuracies,val_accuracies
0,0,1.5714048760260524,1.375687339883715,0.34810106416873765,0.411075001593067
1,1,1.3312500977431112,1.3478350984103324,0.4242337347862104,0.41126616962977125
2,2,1.245881285476636,1.2425206620435851,0.4541037405212515,0.45797489326451285
3,3,1.1768514846321518,1.1394871089706111,0.4805645829350666,0.49805645829350664
4,4,1.0950293673713152,1.054519427283961,0.5169820939272287,0.5385840820748105
5,5,1.024217982813488,0.9949614966474094,0.5474733957815586,0.5700630854521124
6,6,0.9615692047897829,0.9039077507502679,0.5815013063149175,0.6068947938571337
7,7,0.9042188804691599,0.8833582063192262,0.6068947938571337,0.6158796915822341
8,8,0.8721257371943782,0.82869618985415,0.6184445294080163,0.6469763588861276
9,9,0.8164996294253463,1.2116183261643116,0.646992289555853,0.483272796788377
10,10,0.7969622709669713,1.0470338969997863,0.6556107818772701,0.5492894921302491
11,11,0.756209206887949,0.7639923890229398,0.6742815267953864,0.6722742624099917
12,12,0.7304077016286529,0.8125783064214858,0.6883483081628752,0.6463391320971134
13,13,0.710710351194932,0.7685590152706488,0.6978589179889123,0.6678136748868923
14,14,0.6829622113406962,0.6731806449030664,0.7074651118333015,0.7135028356592111
15,15,0.6633359151118635,0.7226364720620352,0.7204486076594661,0.6945772000254891
16,16,0.6508136929813146,0.6785163262104066,0.7242401070541006,0.7075129038424776
17,17,0.6304474054749345,0.6330011794134944,0.734483527687504,0.7450455617154145
18,18,0.6144234116866075,0.8234519701746962,0.7407920728987447,0.6448097878034793
19,19,0.6015857355963442,0.5994617708952995,0.7478652902568024,0.7520550563945708
