,epoch,train_losses,val_losses,train_accuracies,val_accuracies
0,0,1.4220670518464391,1.3457787981344096,0.4012617090422481,0.41457974893264515
1,1,1.1141793409497245,1.1178145256887386,0.5108169247435163,0.511565666220608
2,2,1.0034438607403506,0.9778136788220609,0.5614127317912445,0.5692984133052954
3,3,0.8894415914283251,0.8367577075594069,0.613681259160135,0.6413687631428026
4,4,0.807418775865305,0.9318636543517685,0.6527273306569809,0.6024342063340343
5,5,0.7302823978705022,0.6663404962317279,0.6871535079334735,0.7245268591091569
6,6,0.682235051307231,0.745227132576789,0.7104122857324922,0.6802395972726694
7,7,0.62873418007908,0.5936277757897639,0.7362040400178423,0.7473395781558657
8,8,0.5747076695999482,0.6364408356958883,0.7583636016058115,0.7345313196966801
9,9,0.5444530654512536,0.4872762504396031,0.7739597272669343,0.8000382336073408
10,10,0.5018570345658411,0.47748097246266186,0.794797043267699,0.8062193334607787
11,11,0.47331386767745504,0.49030549056418316,0.8080991524883706,0.803542980946919
12,12,0.44826600933020266,0.5032389770639404,0.8178965143694641,0.797489326451284
13,13,0.4222739707720328,0.5692998013343442,0.8299401006818327,0.765691709679475
14,14,0.39380385047327976,0.44224595261809785,0.8405977187280953,0.8199834321034857
15,15,0.3877755421594499,0.37869338293667965,0.8455521570126808,0.8492321417192379
16,16,0.37549027288285114,0.4434965279886533,0.8491206270311604,0.8186452558465558
17,17,0.3540960965178732,0.3519927224717169,0.8574205059580705,0.8615306187472122
18,18,0.3284704648413972,0.29812775881555076,0.8709456445548971,0.887848085133499
19,19,0.31269010406264713,0.3673573027833416,0.8768718536927292,0.8544574013891544
