,epoch,train_losses,val_losses,train_accuracies,val_accuracies
0,0,1.4992143084028324,1.2386232902221912,0.37034027910533357,0.45568087682406166
1,1,1.2251507995021695,1.1483578060406532,0.4649047345950424,0.5003504747339578
2,2,1.1136265277984068,1.0288886886750122,0.5108647167526923,0.5517746766074045
3,3,1.0328899098220343,1.0093732184887902,0.5480787612311222,0.557445995029631
4,4,0.9493448167097557,0.9352074736490269,0.5849423309755942,0.591792518957497
5,5,0.8695856932470922,0.7792833634403719,0.6211527432613267,0.6662206079143567
6,6,0.8156795294368668,0.781432398407134,0.6462913400879373,0.6588287771617919
7,7,0.750388500082262,0.6925011316044996,0.6764640285477601,0.7083412986681961
8,8,0.7053626664248689,0.799852175528066,0.7042630472185051,0.6488243165742688
9,9,0.6669081847328658,0.8387299377296704,0.7189511247052827,0.6330210922067163
10,10,0.6410617165639617,0.71582525052024,0.7287803479258268,0.691837124832728
11,11,0.6069315735110206,0.6566442677299749,0.7450455617154145,0.7203211623016632
12,12,0.5809434344507868,0.6249950650146197,0.7576945134773466,0.736952781494934
13,13,0.554522347012791,0.5346915115224854,0.7708851080099407,0.7803479258268018
14,14,0.5340077267783133,1.0599339015614961,0.7772095838909068,0.5531128528643344
15,15,0.5179226106824496,0.5356680704716995,0.7857643535334226,0.7816223794048301
16,16,0.49099095469524856,0.46214737632366887,0.7991301854329956,0.8139297776078507
17,17,0.4693224849473689,0.5434343408785623,0.8092939527177723,0.7807302619002103
18,18,0.4503893534388017,0.44112400358539006,0.8168450901675907,0.8224048939017397
19,19,0.44408720441610683,0.47228271591566245,0.8190753839291404,0.8081947365067227
